ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1545466981.601334,CKY5NU2rlxjMSdhER8,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1547129544.989442,CYIT3x11d8chyCk0d2,192.168.1.197,51712,185.244.25.183,4975,tcp,-,3.134484,0,0,S0,-,-,0,S,3,180,0,0,-,benign,-
1545426303.687628,C3OtxL1t9iym2R09Re,192.168.1.195,0,66.67.61.168,63798,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,malicious,PartOfAHorizontalPortScan
1545466965.468056,Cay21n4FrCWrbHPt7e,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1547148595.049824,CZWlOc4hb7KrhFtXql,192.168.1.197,35298,192.168.1.1,53,udp,dns,0.024982,39,103,SF,-,-,0,Dd,1,67,1,131,-,benign,-
1545466972.893557,CN0dTl4sdOABUdsJb7,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1540476135,CtywZo2EMLbcogHDwk,192.168.1.132,53412,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-
1545466978.025869,CS7XZR27VaIS2x8gL1,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545482115.779759,CIwQe53VYj7FXl3Gia,192.168.1.195,56156,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,C&C
1537541026.086319,C9n40g2cEIj7yYTDkc,192.168.2.3,21717,192.168.2.1,53,udp,dns,0.010973,40,56,SF,-,-,0,Dd,1,68,1,84,-,benign,-
1545466971.521334,Chha6Q36gJTIqmmKoi,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1547131098.158248,CxjExr3CMlOOJJskE2,192.168.1.197,52414,185.244.25.183,4975,tcp,-,1.076142,67,233,S3,-,-,0,ShAdDaf,7,439,6,553,-,benign,-
1547128957.774145,CQG3FOd7M77DmHxEi,192.168.1.197,43418,192.168.1.1,53,udp,dns,0.000991,29,45,SF,-,-,0,Dd,1,57,1,73,-,benign,-
1547129534.043934,CGuSvo3a4cChTy7j63,192.168.1.197,51702,185.244.25.183,4975,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,benign,-
1545466963.100895,ChAjal2SYPJV3kHWm6,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466979.280413,CNmmlY2vuKNTlKS1ol,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545413317.541045,CqkqP84Iuf5qw80ij6,192.168.1.195,51490,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,C&C
1547130859.668031,Ckc8dI38YMQctZYHE1,192.168.1.197,52310,185.244.25.183,4975,tcp,-,1.068897,67,233,S3,-,-,0,ShAdDaf,7,451,7,605,-,benign,-
1540516854,CrgNab4jC6S7ygUmx1,192.168.1.132,51087,216.239.35.8,123,udp,-,0.017238,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1562160292.326475,CrmLCrlPS1jQr9pna,fe80::6a05:71ff:fe67:dff2,133,ff02::2,134,icmp,-,13.017631,792,0,OTH,-,-,0,-,99,5544,0,0,-,benign,-
1547128121.038376,CYtVkr2aHHOouJIC9e,192.168.1.197,51110,185.244.25.183,4975,tcp,-,1.061650,67,233,S3,-,-,0,ShAdDaf,7,451,7,605,-,benign,-
1545466960.298757,CecaDvNn57m2Q11ul,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545468384.741077,CzHUCdCZB6uBc7GI1,192.168.1.195,54744,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,malicious,C&C
1545416379.456503,CzkBaH1fA09YAKkFx4,192.168.1.195,123,46.28.109.26,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1545466980.209127,CwmYs4dz0g2S1zea,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1540541842,Co9vQIyybagkWcNja,192.168.1.132,53710,2.16.60.82,443,tcp,-,0.011245,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,benign,-
1547132889.258274,CVeWcn1VFuesolWcXh,192.168.1.197,53204,185.244.25.183,4975,tcp,-,1.090128,67,233,S3,-,-,0,ShAdDaf,8,503,7,605,-,benign,-
1545413702.135435,CnqmR53WFLBtfGpXod,192.168.1.195,51576,185.244.25.235,6667,tcp,irc,4.185369,75,243,S3,-,-,0,ShAdDaf,9,567,7,615,-,malicious,C&C
1545447204.456994,CNzk8V3Xhnwd62LUBf,192.168.1.195,123,147.231.100.5,123,udp,-,0.001496,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-
1545466984.128906,CLtYok2cxW4KFmJV54,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466963.015702,CYVi3F303B4ozCTWA5,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466962.968478,CVpQsHFQB5FNjIx58,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
